State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit ,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
23528,DC Infrastructure Academy,237,Submission of Local Training Package,6/15/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
475290,DC Infrastructure Academy,220,Job Readiness Training,8/16/2021,NA,,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
434632,DC Infrastructure Academy,237,Submission of Local Training Package,5/4/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
93130,DC Infrastructure Academy,238,Submission of Local OJT Training Package,5/9/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
174193,DC Infrastructure Academy,237,Submission of Local Training Package,5/23/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
266792,DC Infrastructure Academy,237,Submission of Local Training Package,6/20/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
140680,DC Infrastructure Academy,237,Submission of Local Training Package,6/21/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
457783,DC Infrastructure Academy,237,Submission of Local Training Package,6/26/2018,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
9197,DC Infrastructure Academy,893,Unsubsidized Employment,7/20/2020,NA,,,,5,12/20/2019,,,,                              ,,,,,,,,,,,,,,
362253,DC Infrastructure Academy,101,Orientation,1/28/2021,1/28/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
362253,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
117264,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,NA,,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
117264,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,,,,                              ,,,,,,,,,,,,,,
390643,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,9/25/2020,,,,                              ,,,,,,,,,,,,,,
390643,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,5,9/25/2020,,,,                              ,,,,,,,,,,,,,,
25012,DC Infrastructure Academy,104,Workshops,7/16/2021,7/16/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,7,7/3/2021,,,,                              ,,,,,,,,,,,,,,
25012,DC Infrastructure Academy,220,Job Readiness Training,7/5/2021,7/16/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,7,7/3/2021,,,,                              ,,,,,,,,,,,,,,
25012,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,7/2/2021,Successful Completion,"CNI, LLC",Washington Gas Training Program,7,7/3/2021,,,,                              ,,,,,,,,,,,,,,
113375,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/19/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,                              ,,,,,,,,,,,,,,
506862,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
