State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Credential
Type 2","Credential
Date 2","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
97490,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
97490,DC Infrastructure Academy,202,Career Guidance / Planning,5/31/2018,5/31/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
97490,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
97490,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
37124,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,1/25/2019,,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,,,
37124,DC Infrastructure Academy,102,Initial Assessment,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,1/25/2019,,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,,,
37124,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,1/25/2019,,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,,,
37124,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Successful Completion Employed,1/25/2019,,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,,,
37124,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,3/26/2019,Successful Completion,,,,,,,Successful Completion Employed,1/25/2019,,1/25/2019,Bullock Construction Inc,Easton,MD,Laborer,40,20,0,0,9,0,237990,,,
431420,DC Infrastructure Academy,102,Initial Assessment,3/26/2018,3/26/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,11/26/2019,,                              ,,,,,,,,,,,,,,
